# x, y, theta, v_l, v_r
33.14, 316.31, 1.820, 24.93, 24.93
33.07, 316.55, 1.820, 24.93, 24.93
33.01, 316.79, 1.820, 24.93, 24.93
32.95, 317.03, 1.820, 24.93, 24.93
32.89, 317.27, 1.820, 24.93, 24.93
32.83, 317.52, 1.820, 24.93, 24.93
32.77, 317.76, 1.820, 24.93, 24.93
32.71, 318.00, 1.820, 24.93, 24.93
32.64, 318.24, 1.820, 24.93, 24.93
32.58, 318.48, 1.820, 24.93, 24.93
32.52, 318.72, 1.820, 24.93, 24.93
32.46, 318.96, 1.820, 24.93, 24.93
32.40, 319.21, 1.820, 24.93, 24.93
32.34, 319.45, 1.820, 24.93, 24.93
32.27, 319.69, 1.820, 24.93, 24.93
32.21, 319.93, 1.820, 24.93, 24.93
32.15, 320.17, 1.820, 24.93, 24.93
32.09, 320.41, 1.820, 24.93, 24.93
32.03, 320.66, 1.820, 24.93, 24.93
31.97, 320.90, 1.820, 24.93, 24.93
31.91, 321.14, 1.820, 24.93, 24.93
31.84, 321.38, 1.820, 24.93, 24.93
31.78, 321.62, 1.820, 24.93, 24.93
31.72, 321.86, 1.820, 24.93, 24.93
31.66, 322.11, 1.820, 24.93, 24.93
31.60, 322.35, 1.820, 24.93, 24.93
31.54, 322.59, 1.820, 24.93, 24.93
31.48, 322.83, 1.820, 24.93, 24.93
31.41, 323.07, 1.820, 24.93, 24.93
31.35, 323.31, 1.820, 24.93, 24.93
31.29, 323.55, 1.820, 24.93, 24.93
31.23, 323.80, 1.820, 24.93, 24.93
31.17, 324.04, 1.820, 24.93, 24.93
31.11, 324.28, 1.820, 24.93, 24.93
31.04, 324.52, 1.820, 24.93, 24.93
30.98, 324.76, 1.820, 24.93, 24.93
30.92, 325.00, 1.820, 24.93, 24.93
30.86, 325.25, 1.820, 24.93, 24.93
30.80, 325.49, 1.820, 24.93, 24.93
30.74, 325.73, 1.820, 24.93, 24.93
30.68, 325.97, 1.820, 24.93, 24.93
30.61, 326.21, 1.820, 24.93, 24.93
30.55, 326.45, 1.820, 24.93, 24.93
30.49, 326.69, 1.820, 24.93, 24.93
30.43, 326.94, 1.820, 24.93, 24.93
30.37, 327.18, 1.820, 24.93, 24.93
30.31, 327.42, 1.820, 24.93, 24.93
30.25, 327.66, 1.820, 24.93, 24.93
30.18, 327.90, 1.820, 24.93, 24.93
30.12, 328.14, 1.820, 24.93, 24.93
30.06, 328.39, 1.820, 24.93, 24.93
30.00, 328.63, 1.820, 24.93, 24.93
29.94, 328.87, 1.820, 24.93, 24.93
29.88, 329.11, 1.820, 24.93, 24.93
29.81, 329.35, 1.820, 24.93, 24.93
29.75, 329.59, 1.820, 24.93, 24.93
29.69, 329.84, 1.820, 24.93, 24.93
29.63, 330.08, 1.820, 24.93, 24.93
29.57, 330.32, 1.820, 24.93, 24.93
29.51, 330.56, 1.820, 24.93, 24.93
29.45, 330.80, 1.820, 24.93, 24.93
29.38, 331.04, 1.820, 24.93, 24.93
29.32, 331.28, 1.820, 24.93, 24.93
29.26, 331.53, 1.820, 24.93, 24.93
29.20, 331.77, 1.820, 24.93, 24.93
29.14, 332.01, 1.820, 24.93, 24.93
29.08, 332.25, 1.820, 24.93, 24.93
29.02, 332.49, 1.820, 24.93, 24.93
28.95, 332.73, 1.820, 24.93, 24.93
28.89, 332.98, 1.820, 24.93, 24.93
28.83, 333.22, 1.820, 24.93, 24.93
28.77, 333.46, 1.820, 24.93, 24.93
28.71, 333.70, 1.820, 24.93, 24.93
28.65, 333.94, 1.820, 24.93, 24.93
28.59, 334.18, 1.820, 24.93, 24.93
28.52, 334.42, 1.820, 24.93, 24.93
28.46, 334.67, 1.820, 24.93, 24.93
28.40, 334.91, 1.820, 24.93, 24.93
28.34, 335.15, 1.820, 24.93, 24.93
28.28, 335.39, 1.820, 24.93, 24.93
28.22, 335.63, 1.820, 24.93, 24.93
28.15, 335.87, 1.820, 24.93, 24.93
28.09, 336.12, 1.820, 24.93, 24.93
28.03, 336.36, 1.820, 24.93, 24.93
27.97, 336.60, 1.820, 24.93, 24.93
27.91, 336.84, 1.820, 24.93, 24.93
27.85, 337.08, 1.820, 24.93, 24.93
27.79, 337.32, 1.820, 24.93, 24.93
27.72, 337.57, 1.820, 24.93, 24.93
27.66, 337.81, 1.820, 24.93, 24.93
27.60, 338.05, 1.820, 24.93, 24.93
27.54, 338.29, 1.820, 24.93, 24.93
27.48, 338.53, 1.820, 24.93, 24.93
27.42, 338.77, 1.820, 24.93, 24.93
27.36, 339.01, 1.820, 24.93, 24.93
27.29, 339.26, 1.820, 24.93, 24.93
27.23, 339.50, 1.820, 24.93, 24.93
27.17, 339.74, 1.820, 24.93, 24.93
27.11, 339.98, 1.820, 24.93, 24.93
27.05, 340.22, 1.820, 24.93, 24.93
26.99, 340.46, 1.820, 24.93, 24.93
26.92, 340.71, 1.820, 24.93, 24.93
26.86, 340.95, 1.820, 24.93, 24.93
26.80, 341.19, 1.820, 24.93, 24.93
26.74, 341.43, 1.820, 24.93, 24.93
26.68, 341.67, 1.820, 24.93, 24.93
26.62, 341.91, 1.820, 24.93, 24.93
26.56, 342.16, 1.820, 24.93, 24.93
26.49, 342.40, 1.820, 24.93, 24.93
26.43, 342.64, 1.820, 24.93, 24.93
26.37, 342.88, 1.820, 24.93, 24.93
26.31, 343.12, 1.820, 24.93, 24.93
26.25, 343.36, 1.820, 24.93, 24.93
26.19, 343.60, 1.820, 24.93, 24.93
26.13, 343.85, 1.820, 24.93, 24.93
26.06, 344.09, 1.820, 24.93, 24.93
26.00, 344.33, 1.820, 24.93, 24.93
25.94, 344.57, 1.820, 24.93, 24.93
25.88, 344.81, 1.820, 24.93, 24.93
25.82, 345.05, 1.820, 24.93, 24.93
25.76, 345.30, 1.820, 24.93, 24.93
25.69, 345.54, 1.820, 24.93, 24.93
25.63, 345.78, 1.820, 24.93, 24.93
25.57, 346.02, 1.820, 24.93, 24.93
25.51, 346.26, 1.820, 24.93, 24.93
25.45, 346.50, 1.820, 24.93, 24.93
25.39, 346.74, 1.820, 24.93, 24.93
25.33, 346.99, 1.820, 24.93, 24.93
25.26, 347.23, 1.820, 24.93, 24.93
25.20, 347.47, 1.820, 24.93, 24.93
25.14, 347.71, 1.820, 24.93, 24.93
25.08, 347.95, 1.820, 24.93, 24.93
25.02, 348.19, 1.820, 24.93, 24.93
24.96, 348.44, 1.820, 24.93, 24.93
